record_id,scope_label,classification_basis,evidence_status
EC_EV_000001,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000002,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000003,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000004,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000005,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000006,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000007,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000008,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000009,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000010,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000011,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000012,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000013,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000014,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000015,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000016,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000017,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000018,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000019,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000020,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000021,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000022,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000023,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000024,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000025,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000026,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000027,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000028,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000029,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000030,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000031,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000032,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000033,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
EC_EV_000034,EC_EV_FINAL_SCOPE,membership_in_verified_WoS_query_#5,verified
