raw_author_keyword,frequency,dictionary_status
extracellular vesicles,669,raw_WoS_DE_term_no_synonym_merge
exosomes,620,raw_WoS_DE_term_no_synonym_merge
Exosomes,539,raw_WoS_DE_term_no_synonym_merge
angiogenesis,419,raw_WoS_DE_term_no_synonym_merge
Extracellular vesicles,381,raw_WoS_DE_term_no_synonym_merge
Angiogenesis,356,raw_WoS_DE_term_no_synonym_merge
exosome,288,raw_WoS_DE_term_no_synonym_merge
Exosome,257,raw_WoS_DE_term_no_synonym_merge
endothelial cells,211,raw_WoS_DE_term_no_synonym_merge
inflammation,175,raw_WoS_DE_term_no_synonym_merge
microRNA,160,raw_WoS_DE_term_no_synonym_merge
miRNA,118,raw_WoS_DE_term_no_synonym_merge
Endothelial cells,113,raw_WoS_DE_term_no_synonym_merge
atherosclerosis,107,raw_WoS_DE_term_no_synonym_merge
microvesicles,100,raw_WoS_DE_term_no_synonym_merge
mesenchymal stem cells,86,raw_WoS_DE_term_no_synonym_merge
extracellular vesicle,81,raw_WoS_DE_term_no_synonym_merge
Mesenchymal stem cells,78,raw_WoS_DE_term_no_synonym_merge
Inflammation,77,raw_WoS_DE_term_no_synonym_merge
tumor microenvironment,72,raw_WoS_DE_term_no_synonym_merge
Atherosclerosis,71,raw_WoS_DE_term_no_synonym_merge
wound healing,70,raw_WoS_DE_term_no_synonym_merge
Microvesicles,68,raw_WoS_DE_term_no_synonym_merge
microRNAs,67,raw_WoS_DE_term_no_synonym_merge
biomarkers,64,raw_WoS_DE_term_no_synonym_merge
cancer,61,raw_WoS_DE_term_no_synonym_merge
blood-brain barrier,60,raw_WoS_DE_term_no_synonym_merge
Extracellular vesicle,60,raw_WoS_DE_term_no_synonym_merge
cardiovascular disease,59,raw_WoS_DE_term_no_synonym_merge
endothelium,56,raw_WoS_DE_term_no_synonym_merge
myocardial infarction,56,raw_WoS_DE_term_no_synonym_merge
stem cells,56,raw_WoS_DE_term_no_synonym_merge
biomarker,54,raw_WoS_DE_term_no_synonym_merge
Wound healing,54,raw_WoS_DE_term_no_synonym_merge
endothelial cell,51,raw_WoS_DE_term_no_synonym_merge
endothelial dysfunction,51,raw_WoS_DE_term_no_synonym_merge
metastasis,49,raw_WoS_DE_term_no_synonym_merge
microparticles,47,raw_WoS_DE_term_no_synonym_merge
MicroRNA,46,raw_WoS_DE_term_no_synonym_merge
proteomics,46,raw_WoS_DE_term_no_synonym_merge
miRNAs,45,raw_WoS_DE_term_no_synonym_merge
Blood-brain barrier,44,raw_WoS_DE_term_no_synonym_merge
Endothelial cell,43,raw_WoS_DE_term_no_synonym_merge
hypoxia,41,raw_WoS_DE_term_no_synonym_merge
Tumor microenvironment,41,raw_WoS_DE_term_no_synonym_merge
diabetes,40,raw_WoS_DE_term_no_synonym_merge
extracellular vesicles (EVs),39,raw_WoS_DE_term_no_synonym_merge
Cancer,38,raw_WoS_DE_term_no_synonym_merge
Diabetes,38,raw_WoS_DE_term_no_synonym_merge
oxidative stress,38,raw_WoS_DE_term_no_synonym_merge
macrophages,37,raw_WoS_DE_term_no_synonym_merge
Endothelial progenitor cells,35,raw_WoS_DE_term_no_synonym_merge
small extracellular vesicles,35,raw_WoS_DE_term_no_synonym_merge
apoptosis,34,raw_WoS_DE_term_no_synonym_merge
Hypoxia,34,raw_WoS_DE_term_no_synonym_merge
mesenchymal stem cell,34,raw_WoS_DE_term_no_synonym_merge
sepsis,34,raw_WoS_DE_term_no_synonym_merge
endothelial progenitor cells,33,raw_WoS_DE_term_no_synonym_merge
Microparticles,33,raw_WoS_DE_term_no_synonym_merge
Myocardial infarction,33,raw_WoS_DE_term_no_synonym_merge
platelets,33,raw_WoS_DE_term_no_synonym_merge
intercellular communication,32,raw_WoS_DE_term_no_synonym_merge
Metastasis,32,raw_WoS_DE_term_no_synonym_merge
preeclampsia,32,raw_WoS_DE_term_no_synonym_merge
stroke,31,raw_WoS_DE_term_no_synonym_merge
COVID-19,30,raw_WoS_DE_term_no_synonym_merge
cardiovascular diseases,29,raw_WoS_DE_term_no_synonym_merge
Stem cells,29,raw_WoS_DE_term_no_synonym_merge
aging,28,raw_WoS_DE_term_no_synonym_merge
Apoptosis,28,raw_WoS_DE_term_no_synonym_merge
